일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,422.6600,8.2000,-1.90,1039063,426.9600,429.2200,422.5850
2026/08/28,430.8600,2.1400,-0.49,566649,434.6200,436.2899,427.4600
2026/08/27,433.0000,1.2500,+0.29,549399,431.3600,435.2500,428.3000
2026/08/26,431.7500,2.3500,+0.55,560434,431.5800,435.7699,430.4300
2026/08/25,429.4000,0.2900,-0.07,595370,433.8500,434.7100,428.2200
2026/08/24,429.6900,7.3900,-1.69,603986,435.0000,436.1300,426.9800
2026/08/21,437.0800,5.6300,+1.30,558124,434.6400,438.2500,432.7600
2026/08/20,431.4500,1.8200,-0.42,698983,430.0000,439.4299,428.2156
2026/08/19,433.2700,0.4000,-0.09,704089,436.6900,439.4250,431.2900
2026/08/18,433.6700,10.9300,-2.46,606120,440.9300,443.7050,433.0000
2026/08/17,444.6000,3.3900,-0.76,623186,449.2000,454.6900,444.2600
2026/08/14,449.3700,3.8600,+0.87,454268,444.7400,450.4200,440.5500
2026/08/13,445.5100,5.8800,-1.30,498252,453.3900,453.3900,445.1500
2026/08/12,451.3900,4.3900,+0.98,714500,451.7500,453.4200,445.8250
2026/08/11,447.0000,11.7800,+2.71,831679,436.3700,449.0550,436.3700
2026/08/10,435.2200,5.8200,-1.32,847232,440.2800,442.7700,434.0000
2026/08/07,441.0400,0.7600,-0.17,1122312,449.5000,449.5000,439.2801
2026/08/06,441.8000,8.2500,-1.83,1088750,451.0400,454.2600,440.8100
2026/08/05,450.0500,4.8200,+1.08,1125004,450.0000,460.4451,444.2500
2026/08/04,445.2300,35.7500,-7.43,2359027,452.1400,454.2700,433.1400
2026/08/03,480.9800,0.9000,+0.19,1676074,477.4700,489.3500,471.0300
2026/07/31,480.0800,9.0700,+1.93,937721,478.6700,482.6700,468.0700
2026/07/30,471.0100,11.6200,+2.53,661012,473.0000,475.9700,468.1800
2026/07/29,459.3900,11.7800,-2.50,791138,468.0900,469.3300,450.2500
2026/07/28,471.1700,5.1700,+1.11,775601,461.2700,474.5900,455.4000
2026/07/27,466.0000,3.8400,+0.83,627573,463.9600,467.9899,453.0500
