일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/04,203.3498,1.2198,+0.60,706,202.1600,203.7800,202.0680
2026/09/03,202.1300,1.3500,+0.67,3706633,202.0000,202.6650,200.1000
2026/09/02,200.7800,4.3800,-2.13,4694226,206.8800,206.8800,200.3100
2026/09/01,205.1600,2.5700,-1.24,3087938,208.5100,211.3100,204.1700
2026/08/31,207.7300,3.9800,-1.88,3962328,210.2300,211.2400,207.6900
2026/08/28,211.7100,0.3700,-0.17,2314857,212.7300,213.5000,210.7000
2026/08/27,212.0800,0.0900,+0.04,3849925,211.3400,212.5200,209.8250
2026/08/26,211.9900,1.7100,+0.81,3791748,210.4000,213.1000,209.2897
2026/08/25,210.2800,1.0600,+0.51,4894904,210.3600,210.6500,207.4400
2026/08/24,209.2200,0.6900,-0.33,3839606,210.0000,210.8894,207.7461
2026/08/21,209.9100,2.3800,-1.12,4795752,213.3600,213.5200,209.8500
2026/08/20,212.2900,8.0600,-3.66,4931795,218.9700,220.4900,212.1600
2026/08/19,220.3500,5.1400,-2.28,6227051,225.9300,226.4100,220.2200
2026/08/18,225.4900,3.8500,+1.74,5972477,222.7600,226.0900,222.3000
2026/08/17,221.6400,1.3300,-0.60,5187626,222.9200,224.6100,221.6000
2026/08/14,222.9700,3.2200,+1.47,2871094,222.0000,223.0700,219.9750
2026/08/13,220.4800,2.2800,-1.02,3234552,223.4700,224.0000,218.8700
2026/08/12,222.7600,1.1000,-0.49,3927976,222.6200,223.5500,219.4700
2026/08/11,223.8600,0.2600,-0.12,2930368,224.0000,225.3400,222.3400
2026/08/10,224.1200,1.0900,+0.49,3280628,224.3800,226.8840,223.3000
2026/08/07,223.0300,0.2200,-0.10,4975596,222.5300,224.3051,220.5000
2026/08/06,223.2500,0.9400,+0.42,5973547,224.2050,225.6500,220.4800
2026/08/05,222.3100,4.3800,+2.01,4276671,220.0000,222.8150,218.8950
2026/08/04,217.9300,1.2800,+0.59,6386927,217.3800,218.6000,214.5250
2026/08/03,216.6500,1.4300,+0.66,3814277,216.5700,218.1300,214.4200
2026/07/31,215.2200,0.8400,+0.39,3421308,213.3500,215.8200,212.0350
2026/07/30,214.3800,0.8700,-0.40,5240573,214.5000,214.6400,209.3900
2026/07/29,215.2500,3.3300,-1.52,8234361,220.0000,220.5700,215.0100
2026/07/28,218.5800,0.1600,+0.07,7780082,220.9900,221.3400,215.9000
2026/07/27,218.4200,5.6300,+2.65,8193748,214.4200,220.3900,213.7997
2026/07/24,212.7900,3.6300,+1.74,5877311,210.8300,214.8899,209.2601
2026/07/23,209.1600,14.2800,+7.33,9998808,205.0000,213.4900,202.5100
2026/07/22,194.8800,1.2100,+0.62,5150493,195.9000,197.3499,193.7775
2026/07/21,193.6700,0.7700,-0.40,3527432,194.0000,197.1401,190.0200
2026/07/20,194.4400,0.9300,+0.48,4593530,194.6300,197.5400,194.1000
2026/07/17,193.5100,0.8500,-0.44,4201041,195.3800,198.4400,192.9700
2026/07/16,194.3600,1.5300,-0.78,3727932,195.6600,196.7200,192.8500
2026/07/15,195.8900,2.5000,+1.29,3543606,195.0150,196.2800,193.1400
2026/07/14,193.3900,3.0000,-1.53,4249796,196.3800,198.5000,193.3900
2026/07/13,196.3900,0.4600,+0.23,3608133,196.4400,197.6866,195.2250
2026/07/10,195.9300,0.7300,+0.37,2823069,195.0100,196.6875,192.5900
2026/07/09,195.2000,0.2900,+0.15,3940737,193.9900,195.8300,193.0000
2026/07/08,194.9100,5.9400,-2.96,4163908,199.0000,200.4089,194.6900
2026/07/07,200.8500,0.5200,-0.26,4400415,203.5400,203.9400,199.6400
2026/07/06,201.3700,2.1200,+1.06,6571308,200.0000,202.5500,197.9550
2026/07/02,199.2500,7.4700,+3.90,5194401,194.7700,199.6950,194.0450
2026/07/01,191.7800,2.0500,+1.08,3780460,190.4800,191.8200,188.9700
2026/06/30,189.7300,2.4000,+1.28,4054522,189.0000,190.1000,186.8300
2026/06/29,187.3300,0.6600,-0.35,3594349,187.6100,189.8800,187.1600
2026/06/26,187.9900,1.4000,+0.75,8036385,187.2800,190.4900,186.8800
2026/06/25,186.5900,1.5300,+0.83,3594827,185.0000,189.6600,184.3500
2026/06/24,185.0600,1.3300,-0.71,4463666,187.4300,187.4400,184.6500
2026/06/23,186.3900,4.5600,+2.51,3908621,183.0000,186.7150,181.8300
2026/06/22,181.8300,3.7700,-2.03,6351778,184.5900,185.7100,180.9700
2026/06/18,185.6000,6.9800,-3.62,8866358,194.0000,194.1700,184.4201
2026/06/17,192.5800,5.8100,+3.11,7530118,188.7500,193.4550,186.3800
2026/06/16,186.7700,3.1300,+1.70,5103635,184.2500,186.8500,182.2510
2026/06/15,183.6400,0.1100,+0.06,6073937,183.8600,186.4550,182.8800
2026/06/12,183.5300,0.6800,-0.37,3348404,184.6900,184.8650,181.8700
2026/06/11,184.2100,6.8000,+3.83,6492715,178.0200,184.4000,178.0200
2026/06/10,177.4100,4.1500,-2.29,6037263,183.0000,183.0000,176.9300
2026/06/09,181.5600,2.9000,+1.62,6227936,178.9600,182.7800,178.5400
2026/06/08,178.6600,2.3300,-1.29,5908714,180.4900,182.3000,177.9000
2026/06/05,180.9900,1.5800,+0.88,6272187,179.1700,182.5300,178.0100
2026/06/04,179.4100,6.8600,+3.98,4697229,176.5400,180.4200,176.1940
2026/06/03,172.5500,1.7100,-0.98,4322011,173.0100,176.4200,172.5500
2026/06/02,174.2600,0.1500,-0.09,4385881,173.8900,175.7500,172.9900
2026/06/01,174.4100,5.2500,-2.92,5481978,177.4400,178.6899,174.1300
2026/05/29,179.6600,0.7000,+0.39,8757169,178.9100,180.1000,176.0400
2026/05/28,178.9600,2.3700,+1.34,5838736,176.8000,181.5500,176.7400
2026/05/27,176.5900,2.3800,-1.33,5148547,178.4900,178.7979,175.7057
2026/05/26,178.9700,1.9600,+1.11,5533930,178.0000,179.2100,176.0700
2026/05/22,177.0100,1.7600,+1.00,4321324,176.7400,177.6000,175.2600
2026/05/21,175.9800,1.1300,+0.65,3596348,174.5900,177.1800,173.2900
2026/05/20,174.8500,0.3600,+0.21,6634756,175.4700,176.1600,173.0000
2026/05/19,174.4900,1.4600,-0.83,5578637,176.2900,177.0000,174.3750
2026/05/18,175.9500,4.7700,+2.79,5627436,171.6800,176.0900,171.0000
2026/05/15,171.1800,4.5000,-2.56,7694030,175.5200,175.9800,170.7800
2026/05/14,175.6800,2.4300,-1.36,6421638,178.1100,178.9000,175.3000
2026/05/13,178.1100,0.7800,-0.44,6144140,177.7700,179.4400,175.2974
2026/05/12,178.8900,0.2800,+0.16,5604883,178.6000,179.9236,176.6234
2026/05/11,178.6100,2.5200,+1.43,6524088,175.1600,179.9300,174.6000
2026/05/08,176.0900,0.6900,-0.39,6277446,176.2200,177.0900,174.6000
2026/05/07,176.7800,0.0400,+0.02,5658926,176.5400,177.3900,173.6800
2026/05/06,176.7400,3.8700,+2.24,6098981,174.7900,178.0900,173.5700
2026/05/05,172.8700,0.0300,-0.02,4721241,173.9200,174.1500,171.1950
2026/05/04,172.9000,1.0900,-0.63,5081313,174.0000,175.8699,172.8900
2026/05/01,173.9900,2.0800,-1.18,4494767,176.2300,176.9900,173.2550
2026/04/30,176.0700,3.2800,+1.90,6224410,173.6400,176.6500,173.4800
2026/04/29,172.7900,2.8900,-1.65,5037907,175.5600,176.2700,171.7800
2026/04/28,175.6800,2.3000,+1.33,6115827,175.2500,175.7900,172.3400
2026/04/27,173.3800,0.8800,-0.50,6511732,172.3000,176.9900,172.3000
2026/04/24,174.2600,5.0400,-2.81,10505057,177.7800,177.7800,171.6301
2026/04/23,179.3000,1.6100,-0.89,6289444,181.3600,182.6400,177.5000
2026/04/22,180.9100,6.2600,-3.34,8513949,187.7450,188.7400,179.8400
2026/04/21,187.1700,8.6200,-4.40,7489948,194.6100,196.6200,186.5400
2026/04/20,195.7900,0.6300,-0.32,4988161,197.8000,198.3900,194.8000
2026/04/17,196.4200,0.5700,+0.29,4777162,195.5800,199.9400,195.2000
2026/04/16,195.8500,2.5400,-1.28,3999305,198.4100,199.9400,193.9100
2026/04/15,198.3900,4.4200,-2.18,4424750,202.9900,203.0000,197.6900
2026/04/14,202.8100,1.4000,+0.70,3303096,201.3500,204.3200,200.9110
2026/04/13,201.4100,0.1500,-0.07,3429173,201.7500,202.9900,200.1300
2026/04/10,201.5600,1.6300,-0.80,3151917,202.8200,202.8200,197.7900
2026/04/09,203.1900,0.2900,-0.14,2789665,203.2200,205.3600,202.6062
2026/04/08,203.4800,5.5600,+2.81,4455777,198.6000,203.8000,198.4200
2026/04/07,197.9200,0.4900,-0.25,3037484,197.4100,198.1500,195.5100
2026/04/06,198.4100,2.2000,+1.12,2314879,196.2250,198.6300,195.0000
2026/04/02,196.2100,1.4900,+0.77,4113877,195.0800,197.4400,193.6300
2026/04/01,194.7200,1.8200,+0.94,4127203,194.4700,196.6400,193.5500
2026/03/31,192.9000,5.7500,+3.07,5318463,189.1400,193.4400,187.5800
2026/03/30,187.1500,2.5600,-1.35,5043821,192.4900,193.0000,185.5700
2026/03/27,189.7100,3.1400,-1.63,3864456,192.4100,193.1100,189.4600
2026/03/26,192.8500,2.1500,-1.10,4871912,194.3100,194.3100,191.3800
2026/03/25,195.0000,1.0000,+0.52,4057284,196.0500,196.6700,194.0500
2026/03/24,194.0000,0.8200,-0.42,5135964,192.2200,195.1400,191.1800
2026/03/23,194.8200,3.3400,-1.69,4927257,197.1700,199.7500,194.4600
2026/03/20,198.1600,2.5700,-1.28,8463886,201.2600,202.0300,196.4900
2026/03/19,200.7300,3.8300,-1.87,5329580,203.3300,203.3800,197.0200
2026/03/18,204.5600,1.2300,+0.60,3512916,204.3100,207.3000,204.0300
2026/03/17,203.3300,2.7300,-1.32,3990778,205.8100,206.6700,200.7133
2026/03/16,206.0600,1.5400,+0.75,4795629,204.7100,208.9000,204.6100
2026/03/13,204.5200,1.4800,+0.73,4806760,204.4600,206.2879,201.9000
2026/03/12,203.0400,4.2200,-2.04,6400901,206.1800,206.7700,201.8400
2026/03/11,207.2600,0.2600,+0.13,4418014,205.6600,209.3899,204.7000
2026/03/10,207.0000,1.2300,-0.59,4140612,206.3600,208.4700,205.2800
2026/03/09,208.2300,1.5300,-0.73,8626395,211.7550,213.0000,206.8100
2026/03/06,209.7600,5.9000,+2.89,8790440,204.0100,209.9500,203.6400
2026/03/05,203.8600,4.9600,-2.38,6935575,208.4900,210.1500,200.0950
2026/03/04,208.8200,2.3000,+1.11,6140312,207.0000,209.9500,204.2300
2026/03/03,206.5200,5.6400,-2.66,9661254,213.0100,214.5000,205.5700
2026/03/02,212.1600,9.5400,+4.71,12485301,210.6500,212.8200,208.0000
2026/02/27,202.6200,4.9900,+2.52,8982472,198.3100,202.6200,197.6300
2026/02/26,197.6300,1.6500,+0.84,5761981,196.5000,198.6800,194.0000
2026/02/25,195.9800,2.4800,-1.25,6891791,198.4600,198.7629,192.6200
2026/02/24,198.4600,3.4600,-1.71,10157270,200.0000,200.7101,197.0000
2026/02/23,201.9200,3.0000,-1.46,4557283,203.9700,204.9000,201.7400
2026/02/20,204.9200,0.1900,+0.09,10300796,205.4900,206.3600,203.0200
2026/02/19,205.4100,0.6000,+0.29,6128379,204.1700,206.7300,201.5400
2026/02/18,204.8100,1.3100,+0.64,6395657,205.5100,206.0100,202.8050
2026/02/17,203.5000,3.4400,+1.72,6057791,200.0000,205.6400,198.8500
2026/02/13,200.0600,1.0800,-0.54,4939001,201.1400,203.7000,198.5292
2026/02/12,201.1400,4.6300,+2.36,6738648,197.0000,201.8800,197.0000
2026/02/11,196.5100,1.3200,+0.68,6784433,195.5800,198.8300,195.0490
2026/02/10,195.1900,1.0000,-0.51,5501546,195.0300,196.4100,193.0800
2026/02/09,196.1900,2.4700,-1.24,4615240,198.5000,200.0000,195.9900
2026/02/06,198.6600,2.6900,+1.37,4350944,196.9550,200.8500,196.9550
2026/02/05,195.9700,0.7700,-0.39,5538308,196.2300,199.6800,194.5301
2026/02/04,196.7400,6.7600,-3.32,11411466,205.5000,206.4800,194.3300
2026/02/03,203.5000,2.4100,+1.20,8457340,201.7850,204.8700,200.6500
2026/02/02,201.0900,0.1600,+0.08,6239853,199.9900,201.6600,197.0000
2026/01/30,200.9300,1.0500,+0.53,7228370,198.3700,201.4300,197.5950
2026/01/29,199.8800,0.4200,+0.21,8870790,200.9300,203.2399,198.0100
2026/01/28,199.4600,1.8200,-0.90,6826457,201.2800,205.3600,198.5500
2026/01/27,201.2800,7.1500,+3.68,10134475,199.5050,202.2000,195.4400
2026/01/26,194.1300,1.8000,-0.92,6680635,195.2500,195.8900,193.5000
2026/01/23,195.9300,0.4100,-0.21,5113118,196.8450,197.5800,195.0000
2026/01/22,196.3400,1.1600,-0.59,4074956,198.9900,198.9900,195.8100
2026/01/21,197.5000,1.1400,+0.58,5463376,197.5950,198.3000,195.5800
2026/01/20,196.3600,5.5600,-2.75,6047954,200.6500,203.0300,196.1000
2026/01/16,201.9200,2.0900,+1.05,4825922,200.0900,202.1700,199.5800
2026/01/15,199.8300,0.9900,+0.50,3657419,198.9500,200.3100,196.6600
2026/01/14,198.8400,4.7600,+2.45,5249688,194.8400,198.8700,193.3750
2026/01/13,194.0800,0.2300,+0.12,5852305,195.6200,197.5500,193.0000
2026/01/12,193.8500,5.3500,+2.84,5392041,189.7100,194.0300,189.4100
2026/01/09,188.5000,1.3300,+0.71,7593612,186.0300,189.0900,184.3700
2026/01/08,187.1700,1.4400,+0.78,9773441,191.0300,196.6999,184.9000
2026/01/07,185.7300,4.6700,-2.45,7666678,191.9200,193.7900,185.6100
2026/01/06,190.4000,2.1400,+1.14,3914984,188.7000,190.7100,187.7100
2026/01/05,188.2600,1.0100,+0.54,6048782,187.3000,190.5000,186.4295
2026/01/02,187.2500,3.8500,+2.10,3326316,183.5000,187.2700,182.1738
2025/12/31,183.4000,0.6100,-0.33,2644838,184.1000,184.4000,182.6400
2025/12/30,184.0100,0.4100,-0.22,1812363,184.9300,185.0000,183.7000
