일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/04,356.4700,0.0000,0,0,,,
2026/09/03,356.4700,50.6300,+16.55,21835875,377.2450,384.5600,355.4700
2026/09/02,305.8400,13.9600,-4.37,11649536,310.5400,319.2500,303.8900
2026/09/01,319.8000,11.6300,-3.51,4000765,325.8750,328.7600,317.8200
2026/08/31,331.4300,3.4300,+1.05,4396223,326.5000,332.6500,323.0400
2026/08/28,328.0000,1.1100,-0.34,3089924,330.3700,334.8000,325.4000
2026/08/27,329.1100,13.7400,+4.36,4069726,322.5000,333.5000,320.0000
2026/08/26,315.3700,1.6500,-0.52,3086938,309.4400,317.5000,307.2700
2026/08/25,317.0200,5.7600,-1.78,4443894,322.1400,325.8500,308.6200
2026/08/24,322.7800,10.0000,-3.00,3727122,332.1500,332.1500,321.8200
2026/08/21,332.7800,11.4900,+3.58,3437059,321.6600,333.2750,314.2000
2026/08/20,321.2900,3.7200,-1.14,3175537,322.7200,325.0000,317.1200
2026/08/19,325.0100,0.3200,-0.10,3885016,325.1500,326.0000,316.3200
2026/08/18,325.3300,4.7800,-1.45,4001687,327.1400,334.0000,321.5000
2026/08/17,330.1100,1.1900,+0.36,3097378,327.7700,334.4500,324.5064
2026/08/14,328.9200,8.4600,-2.51,2583118,339.0000,339.7500,326.3300
2026/08/13,337.3800,5.1200,+1.54,3022539,337.0000,339.7500,330.8000
2026/08/12,332.2600,1.8800,-0.56,4286005,329.0400,341.9498,329.0400
2026/08/11,334.1400,0.5600,-0.17,3662014,331.1400,338.0400,328.0000
2026/08/10,334.7000,4.2100,+1.27,4668737,328.4500,340.5000,328.0000
2026/08/07,330.4900,12.4900,+3.93,6217425,325.0000,331.4000,322.1300
2026/08/06,318.0000,1.1600,+0.37,5968383,304.3900,321.8200,304.3900
2026/08/05,316.8400,0.0700,+0.02,4590947,317.4900,323.1000,315.0200
2026/08/04,316.7700,9.2400,+3.00,5632097,305.0000,321.3100,301.9014
2026/08/03,307.5300,14.2500,+4.86,7988037,296.4400,315.4200,292.9502
2026/07/31,293.2800,4.8200,-1.62,7383073,299.5000,304.1700,292.6301
2026/07/30,298.1000,15.2000,+5.37,6453477,285.0000,298.2300,283.0000
2026/07/29,282.9000,12.5400,+4.64,8782315,276.9000,293.5600,276.9000
2026/07/28,270.3600,2.5600,-0.94,5146767,273.0200,277.2100,253.5901
2026/07/27,272.9200,4.8600,+1.81,5226465,275.0000,278.4300,265.5200
2026/07/24,268.0600,2.9300,+1.11,3454643,268.9000,270.7899,264.0000
2026/07/23,265.1300,2.6700,-1.00,3114332,273.8500,277.5150,260.6000
2026/07/22,267.8000,3.9300,-1.45,3052082,269.9500,271.0000,260.3400
2026/07/21,271.7300,2.6100,-0.95,3166792,271.6700,279.4899,268.9100
2026/07/20,274.3400,5.4400,+2.02,3795719,267.1200,277.2200,267.1200
2026/07/17,268.9000,1.1200,-0.41,5456768,262.6100,274.2500,259.4800
2026/07/16,270.0200,1.8500,-0.68,3345605,272.4600,275.2900,262.8150
2026/07/15,271.8700,4.0700,-1.47,3790964,277.9000,279.1900,266.4700
