일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,439.9900,2.6200,-0.59,1681098,437.9500,445.8600,434.4500
2026/08/28,442.6100,22.2800,-4.79,2004516,461.8500,462.4500,440.6000
2026/08/27,464.8900,54.8900,+13.39,4073868,419.6600,464.9800,415.3100
2026/08/26,410.0000,1.2100,+0.30,2622450,405.1000,419.6000,403.5400
2026/08/25,408.7900,14.2800,+3.62,2966899,396.3400,410.9300,395.2501
2026/08/24,394.5100,3.3600,-0.84,1480056,395.2000,395.9900,388.1100
2026/08/21,397.8700,0.0500,-0.01,1256936,400.6650,401.9800,394.7800
2026/08/20,397.9200,3.3200,-0.83,1163853,399.6000,401.4200,394.5700
2026/08/19,401.2400,3.1700,-0.78,1359964,405.2300,408.2300,400.8200
2026/08/18,404.4100,8.8100,-2.13,1607317,410.8000,412.8500,402.4250
2026/08/17,413.2200,8.2800,-1.96,1111267,417.6100,425.7800,411.5100
2026/08/14,421.5000,9.7500,+2.37,1243042,414.1100,423.9500,409.4000
2026/08/13,411.7500,0.5700,-0.14,1443120,412.3200,416.9100,403.7400
2026/08/12,412.3200,1.4100,+0.34,990017,413.7450,418.3800,410.1800
2026/08/11,410.9100,0.7700,-0.19,971120,412.0000,412.3400,402.1600
2026/08/10,411.6800,4.3100,-1.04,1374865,416.0000,421.3650,411.2800
2026/08/07,415.9900,10.0100,+2.47,1161877,408.7900,416.4407,405.6200
2026/08/06,405.9800,5.1600,+1.29,1480755,398.0000,409.9000,396.2733
2026/08/05,400.8200,3.0400,-0.75,1380020,409.6700,412.0000,400.6800
2026/08/04,403.8600,11.7900,+3.01,1367357,394.8900,404.3300,394.0000
2026/08/03,392.0700,3.3100,+0.85,1799221,394.2150,396.0800,386.0000
2026/07/31,388.7600,16.4300,+4.41,2250218,377.9100,389.6400,375.5100
2026/07/30,372.3300,1.3600,-0.36,2312438,376.0000,381.0500,370.2000
2026/07/29,373.6900,10.1300,-2.64,1680954,385.4900,387.6500,373.4400
2026/07/28,383.8200,5.1700,-1.33,2671754,392.5750,402.2600,379.8250
2026/07/27,388.9900,15.5200,+4.16,2946394,384.2900,395.8500,383.3300
2026/07/24,373.4700,0.0500,-0.01,1586404,378.0000,379.8400,369.0200
2026/07/23,373.5200,4.0900,-1.08,2230723,376.8900,378.9200,371.4050
2026/07/22,377.6100,11.4600,-2.95,2573672,388.6200,390.0600,373.8200
2026/07/21,389.0700,10.6100,+2.80,1883103,377.1900,391.0300,376.8200
2026/07/20,378.4600,5.8150,-1.51,2357051,382.0000,385.1800,373.8600
2026/07/17,384.2750,32.7550,-7.85,5039287,401.5900,402.7200,366.0000
2026/07/16,417.0300,8.2450,-1.94,1173273,425.6400,425.6400,416.3350
2026/07/15,425.2750,0.6250,-0.15,1419428,429.8600,432.3500,421.0000
2026/07/14,425.9000,7.9200,-1.83,1372221,426.1900,434.5400,424.2700
2026/07/13,433.8200,11.6800,-2.62,1620074,448.8350,453.9100,432.7300
2026/07/10,445.5000,2.1300,+0.48,839923,443.4900,447.8850,438.4800
2026/07/09,443.3700,8.8700,+2.04,1245036,429.8400,443.4900,426.7400
2026/07/08,434.5000,2.1300,-0.49,1328003,436.1400,436.5400,425.8000
2026/07/07,436.6300,5.6400,-1.28,1484948,447.8600,451.5900,430.3600
2026/07/06,442.2700,5.1100,+1.17,1486472,435.2400,443.3750,432.6300
2026/07/02,437.1600,17.3700,-3.82,1420007,451.1400,453.4800,434.2450
2026/07/01,454.5300,8.4600,+1.90,1543516,454.0000,464.4600,453.4100
2026/06/30,446.0700,1.1900,-0.27,2079024,441.9900,449.5700,441.3000
2026/06/29,447.2600,7.0800,-1.56,2442088,457.9300,460.3200,438.5300
2026/06/26,454.3400,0.6800,-0.15,5293037,449.1500,458.0300,438.5500
2026/06/25,455.0200,8.9100,-1.92,1564568,463.1400,465.5500,449.3300
2026/06/24,463.9300,2.4300,+0.53,1738847,460.1600,473.1700,458.1300
2026/06/23,461.5000,3.0800,-0.66,2161077,465.0000,479.8000,461.4800
2026/06/22,464.5800,9.0700,+1.99,2839873,455.5300,469.4000,452.8000
2026/06/18,455.5100,6.2300,-1.35,3227786,461.9900,466.0590,452.3250
2026/06/17,461.7400,13.3600,+2.98,1924881,448.3500,478.5150,446.1800
2026/06/16,448.3800,6.0000,-1.32,1734693,452.0000,455.5000,444.8200
2026/06/15,454.3800,0.4900,+0.11,2359730,462.3000,463.5000,453.0200
2026/06/12,453.8900,2.4000,-0.53,1289661,457.0850,461.0900,445.0100
2026/06/11,456.2900,4.2500,-0.92,1960569,457.7550,464.3750,445.0000
2026/06/10,460.5400,4.7300,-1.02,1671666,454.8800,472.4375,453.2800
2026/06/09,465.2700,8.2100,-1.73,2165900,475.8100,487.5500,451.0000
2026/06/08,473.4800,8.6300,+1.86,1579681,467.2800,478.5100,463.3800
2026/06/05,464.8500,29.6300,-5.99,1839401,487.9800,488.9520,458.5300
2026/06/04,494.4800,3.5400,-0.71,2013488,500.3500,500.3500,485.0000
2026/06/03,498.0200,10.3300,-2.03,1660948,502.7800,504.1218,491.2000
2026/06/02,508.3500,16.0600,+3.26,2347222,485.6300,508.7200,485.6300
2026/06/01,492.2900,16.6700,+3.50,2586624,484.0700,494.2501,470.7400
2026/05/29,475.6200,5.0200,-1.04,3358303,480.6650,484.5000,469.3700
2026/05/28,480.6400,45.2800,-8.61,4749406,510.0000,526.0900,471.6900
2026/05/27,525.9200,8.6400,-1.62,2443463,534.5600,534.6200,523.1500
2026/05/26,534.5600,9.8200,+1.87,1794013,529.9700,539.4800,524.1800
2026/05/22,524.7400,20.7600,+4.12,1873634,510.0000,534.1100,508.5100
2026/05/21,503.9800,5.0500,+1.01,1423271,491.2600,504.7300,488.6850
2026/05/20,498.9300,5.0600,+1.02,2259250,479.3400,499.2250,473.7700
2026/05/19,493.8700,4.5600,-0.91,1312172,494.3200,501.0000,490.5800
2026/05/18,498.4300,3.9900,-0.79,1883517,499.1750,501.8300,489.0900
2026/05/15,502.4200,7.6000,-1.49,1488942,502.2400,509.0000,491.0500
2026/05/14,510.0200,0.7400,+0.15,1150047,508.5900,513.6500,504.6400
2026/05/13,509.2800,3.9300,-0.77,1335472,514.5900,514.7400,502.2700
2026/05/12,513.2100,2.9800,-0.58,1217697,511.3000,517.1700,508.1600
2026/05/11,516.1900,0.2900,-0.06,1310223,513.8900,519.7100,512.0000
2026/05/08,516.4800,11.2900,+2.23,1733379,504.3700,519.1100,500.5890
2026/05/07,505.1900,0.7700,+0.15,1597072,506.3000,517.0000,503.4900
2026/05/06,504.4200,1.9100,+0.38,1867180,504.6000,507.3350,497.5100
2026/05/05,502.5100,5.0100,+1.01,1883311,501.7100,512.5400,500.0100
2026/05/04,497.5000,8.4800,+1.73,1642496,493.8400,500.2500,488.3436
2026/05/01,489.0200,6.4200,+1.33,846275,491.1600,497.9400,485.4400
2026/04/30,482.6000,1.3800,+0.29,1341719,481.0000,483.6800,471.6200
2026/04/29,481.2200,2.6700,-0.55,1159517,480.0000,481.6200,471.7025
2026/04/28,483.8900,14.6500,-2.94,1548616,497.0000,498.0000,479.0000
2026/04/27,498.5400,2.2800,-0.46,2227542,496.9350,500.9900,488.0010
2026/04/24,500.8200,43.9700,+9.62,2891335,469.3800,502.2800,469.1900
2026/04/23,456.8500,20.4100,-4.28,1864070,466.1100,467.3100,450.1300
2026/04/22,477.2600,9.6800,+2.07,1460651,470.9000,478.7200,470.9000
2026/04/21,467.5800,6.6300,+1.44,1833026,464.2700,480.2480,462.0000
2026/04/20,460.9500,11.3700,+2.53,2122548,448.0800,463.1600,447.4304
2026/04/17,449.5800,8.4300,+1.91,1718569,452.5500,459.0150,447.1800
2026/04/16,441.1500,2.7000,+0.62,1382004,446.3700,449.6200,436.4800
2026/04/15,438.4500,19.6500,+4.69,2038079,424.2600,439.8800,421.4196
2026/04/14,418.8000,1.0300,+0.25,1255669,424.8300,430.1419,418.2000
2026/04/13,417.7700,25.5300,+6.51,2525897,392.5000,418.4200,388.0700
2026/04/10,392.2400,12.6800,-3.13,1602340,401.6100,403.9200,389.1500
2026/04/09,404.9200,5.2400,-1.28,1728990,409.9400,411.0000,394.2500
2026/04/08,410.1600,12.2600,+3.08,1617576,411.7500,415.1554,405.5000
2026/04/07,397.9000,0.8300,+0.21,920610,393.6900,398.1206,388.8800
2026/04/06,397.0700,1.1200,+0.28,1142399,396.0400,398.6100,390.1201
2026/04/02,395.9500,0.7900,-0.20,1077412,389.6500,401.0650,386.5900
2026/04/01,396.7400,0.2600,+0.07,1163606,403.3000,403.4725,394.5000
2026/03/31,396.4800,13.3400,+3.48,1683953,390.2000,397.4700,387.2000
2026/03/30,383.1400,2.6700,+0.70,2007143,382.8750,390.7800,379.9500
2026/03/27,380.4700,21.4800,-5.34,2400898,400.0000,401.5350,379.5000
2026/03/26,401.9500,8.1800,-1.99,1380106,405.2800,413.5304,400.3700
2026/03/25,410.1300,5.4900,-1.32,2702267,422.5000,425.9300,403.3300
2026/03/24,415.6200,16.8600,-3.90,1932162,426.6700,429.2600,409.8300
2026/03/23,432.4800,12.1600,+2.89,2511910,430.2100,441.7600,429.6500
2026/03/20,420.3200,7.9300,-1.85,4136961,425.9000,429.9100,419.0000
2026/03/19,428.2500,0.4200,-0.10,1475254,424.7100,433.2400,422.5450
2026/03/18,428.6700,0.6200,-0.14,1498743,424.9700,435.7100,424.0000
2026/03/17,429.2900,3.4100,+0.80,1068795,428.2500,435.4800,427.5600
2026/03/16,425.8800,13.2500,+3.21,1262047,420.1800,428.4200,417.6050
2026/03/13,412.6300,6.0900,-1.45,1487918,419.0100,425.4900,410.0900
2026/03/12,418.7200,14.2600,-3.29,1493286,431.8700,436.3706,418.3600
2026/03/11,432.9800,0.3300,+0.08,1611827,432.0700,436.4000,425.3200
2026/03/10,432.6500,4.5700,-1.05,1747823,437.0800,439.0100,428.0010
2026/03/09,437.2200,0.1900,-0.04,2603491,432.5700,440.9100,429.6450
2026/03/06,437.4100,4.8900,-1.11,2165670,432.5600,445.3500,431.8000
2026/03/05,442.3000,11.3200,+2.63,2516910,425.7600,447.7100,425.7600
2026/03/04,430.9800,6.6600,+1.57,2482271,425.1100,439.4900,420.3300
2026/03/03,424.3200,0.3400,-0.08,2644934,412.4800,431.2600,410.6250
