일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,39.8300,0.0450,-0.11,1563682,39.7700,40.0898,39.1200
2026/08/28,39.8750,1.2650,-3.07,1334126,41.1400,41.5900,39.7900
2026/08/27,41.1400,0.5300,+1.31,1386993,41.1100,42.1500,40.5300
2026/08/26,40.6100,0.2000,+0.49,1010429,40.3100,41.6550,40.2700
2026/08/25,40.4100,0.3800,+0.95,1082920,40.8000,41.1100,39.8400
2026/08/24,40.0300,1.8000,-4.30,1497408,41.4700,41.5600,39.9300
2026/08/21,41.8300,0.3700,+0.89,2219243,41.9900,42.7500,41.5800
2026/08/20,41.4600,0.5600,-1.33,1701181,41.4900,41.6890,40.4700
2026/08/19,42.0200,1.5600,+3.86,2186190,40.5600,42.3800,39.6700
2026/08/18,40.4600,1.8900,-4.46,1556864,40.9900,41.2300,40.0500
2026/08/17,42.3500,0.3500,-0.82,1789724,43.0600,43.8800,42.1350
2026/08/14,42.7000,0.9000,+2.15,961634,42.0050,42.8700,41.8000
2026/08/13,41.8000,0.6100,+1.48,1204777,40.8600,42.5100,40.8116
2026/08/12,41.1900,0.5000,-1.20,1346529,42.4900,42.6500,40.9601
2026/08/11,41.6900,1.5800,+3.94,1382408,40.6700,42.0100,40.6700
2026/08/10,40.1100,0.0700,-0.17,2051309,40.1750,40.8859,39.1200
2026/08/07,40.1800,0.5800,+1.46,2337717,40.6500,42.0000,39.6100
2026/08/06,39.6000,6.9200,-14.88,5084166,43.6100,44.3800,39.5800
2026/08/05,46.5200,0.9400,-1.98,2041553,47.8200,48.2400,46.4900
2026/08/04,47.4600,1.6100,+3.51,1910409,47.0000,47.7500,46.1700
2026/08/03,45.8500,2.8000,+6.50,1700738,43.2100,46.2750,43.0000
2026/07/31,43.0500,0.1100,+0.26,1072433,43.4000,43.7500,41.5750
2026/07/30,42.9400,2.6000,+6.45,1249949,41.3700,43.0483,41.0000
2026/07/29,40.3400,2.0000,-4.72,1424426,41.6800,42.1700,40.0000
2026/07/28,42.3400,0.8500,+2.05,2573278,40.5300,42.8900,39.5000
2026/07/27,41.4900,1.3400,+3.34,1386594,40.7800,41.7500,40.1600
2026/07/24,40.1500,0.4200,-1.04,1808821,40.6100,40.7300,39.1600
2026/07/23,40.5700,1.8900,-4.45,964904,41.8800,42.7751,40.1600
2026/07/22,42.4600,0.4000,-0.93,788277,42.6100,42.7600,41.9300
2026/07/21,42.8600,2.0300,+4.97,966718,41.6050,43.0600,41.1100
2026/07/20,40.8300,0.4200,-1.02,1094370,41.9700,41.9888,40.3600
2026/07/17,41.2500,0.7300,-1.74,1639701,40.5000,42.3500,40.1600
2026/07/16,41.9800,0.6600,-1.55,1354482,42.5650,43.3700,41.5660
2026/07/15,42.6400,1.0200,-2.34,1153413,43.9300,45.1000,42.3350
2026/07/14,43.6600,1.2300,+2.90,1001359,42.8900,43.9000,42.6001
2026/07/13,42.4300,1.2100,-2.77,1417122,43.0600,43.7500,41.8700
2026/07/10,43.6400,0.4900,+1.14,1792455,43.5700,44.5000,43.0200
2026/07/09,43.1500,1.4600,+3.50,1627216,42.4500,43.2100,41.1100
2026/07/08,41.6900,0.3700,+0.90,2062443,40.2900,41.7700,39.9100
2026/07/07,41.3200,3.1400,-7.06,1606811,44.0700,44.1785,40.8500
2026/07/06,44.4600,1.7200,+4.02,1557595,43.0000,44.5650,42.8700
2026/07/02,42.7400,2.2200,-4.94,1695937,45.2000,45.6900,42.1350
2026/07/01,44.9600,0.0100,+0.02,2505840,44.8750,47.0550,44.2564
2026/06/30,44.9500,2.8100,+6.67,3118476,42.2000,45.8900,41.9000
2026/06/29,42.1400,0.9000,+2.18,2513863,41.5200,42.2700,40.8700
2026/06/26,41.2400,0.4700,+1.15,2308000,40.0000,41.5400,39.5800
2026/06/25,40.7700,1.3400,+3.40,2377089,39.8100,41.2500,39.3850
2026/06/24,39.4300,0.8600,+2.23,2465742,38.5000,39.7000,38.3100
2026/06/23,38.5700,1.6300,-4.05,2531351,38.9300,39.2200,38.1850
