일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,80.3600,10.3900,+14.85,12249588,72.7000,81.2800,72.6100
2026/09/16,69.9700,1.1200,+1.63,7585839,68.7900,71.4800,68.4201
2026/09/15,68.8500,6.6400,+10.67,8250886,61.9050,68.9390,61.8800
2026/09/14,62.2100,3.2000,+5.42,4724216,57.7250,62.8100,57.7200
2026/09/11,59.0100,0.2700,+0.46,3690132,59.4700,60.3800,58.4800
2026/09/10,58.7400,2.5400,-4.14,5502727,59.8700,61.1100,58.0200
2026/09/09,61.2800,3.0100,-4.68,6623792,63.4200,64.9100,60.9300
2026/09/08,64.2900,0.3300,-0.51,5195199,64.0400,65.7900,63.2100
2026/09/04,64.6200,0.0400,-0.06,4574980,64.7600,66.3000,63.1100
2026/09/03,64.6600,2.7200,+4.39,4918352,63.0000,64.8131,61.1900
2026/09/02,61.9400,0.3300,-0.53,5785646,63.1500,67.0999,60.0600
2026/09/01,62.2700,0.7800,-1.24,6239185,65.6400,65.7900,61.2200
2026/08/31,63.0500,0.9900,-1.55,7178312,62.3650,64.5500,60.5804
2026/08/28,64.0400,6.6500,-9.41,8774758,69.0450,70.8999,63.7700
2026/08/27,70.6900,2.2100,+3.23,6588604,68.6500,71.8900,67.8000
2026/08/26,68.4800,0.2500,-0.36,5225819,67.4800,70.2174,67.3000
2026/08/25,68.7300,2.5600,+3.87,8882458,66.5800,70.7900,63.6101
2026/08/24,66.1700,6.5200,-8.97,11929279,70.0750,72.0200,65.9300
2026/08/21,72.6900,6.0400,+9.06,15973080,65.6000,72.9600,65.2500
2026/08/20,66.6500,5.4000,+8.82,20144363,61.8300,68.9600,61.7000
2026/08/19,61.2500,11.8900,+24.09,22543630,55.9800,61.9800,54.8100
2026/08/18,49.3600,2.2800,-4.42,3519969,50.0700,51.1000,49.3500
2026/08/17,51.6400,0.4600,-0.88,2869524,51.1200,52.8000,50.6100
2026/08/14,52.1000,2.1900,-4.03,3020317,53.9000,54.0400,51.7600
2026/08/13,54.2900,0.3200,-0.59,2256369,54.6700,55.5500,53.8400
2026/08/12,54.6100,1.0800,-1.94,4390863,56.0000,57.0300,53.7300
2026/08/11,55.6900,0.6300,+1.14,3779225,54.2300,56.5800,53.0000
2026/08/10,55.0600,3.0100,+5.78,6781499,51.7900,56.6000,51.6350
2026/08/07,52.0500,5.9300,+12.86,5692865,47.5550,52.4000,47.2263
2026/08/06,46.1200,0.5800,-1.24,2569829,45.3200,46.7499,44.8000
2026/08/05,46.7000,0.3500,-0.74,3507416,46.4600,48.0900,46.0200
2026/08/04,47.0500,1.0000,+2.17,4189183,46.7450,47.7200,45.2700
2026/08/03,46.0500,2.1800,+4.97,5543450,43.4400,47.2087,42.4005
2026/07/31,43.8700,0.4200,-0.95,7310583,46.2400,46.2980,42.3000
2026/07/30,44.2900,2.7400,+6.59,7555222,42.0000,44.5000,41.4500
2026/07/29,41.5500,1.3500,-3.15,4396399,42.4100,43.8300,41.2340
2026/07/28,42.9000,0.0100,-0.02,6413769,42.3200,43.1250,40.7700
2026/07/27,42.9100,0.2200,+0.52,5403524,43.8000,44.3800,42.0100
2026/07/24,42.6900,3.3200,-7.22,5787466,46.2500,46.4500,42.6600
2026/07/23,46.0100,0.9500,-2.02,4474658,46.1000,47.5400,45.5100
2026/07/22,46.9600,2.0200,-4.12,4143912,48.3300,48.6000,46.5100
2026/07/21,48.9800,0.5700,+1.18,4755666,48.5150,50.0100,47.7400
2026/07/20,48.4100,4.0600,-7.74,10289576,49.7800,49.9000,47.4320
2026/07/17,52.4700,1.1200,-2.09,3892484,52.0100,53.5000,51.2300
2026/07/16,53.5900,3.6600,-6.39,4840740,56.7450,57.9400,52.6350
2026/07/15,57.2500,1.4200,-2.42,2772230,58.9700,59.9350,56.5001
2026/07/14,58.6700,2.7400,+4.90,3730247,56.2800,59.1550,55.3101
2026/07/13,55.9300,2.3000,-3.95,4139226,57.6400,57.9500,54.5000
2026/07/10,58.2300,3.2700,-5.32,4387217,62.7500,62.9500,57.4500
2026/07/09,61.5000,4.2300,+7.39,4635209,56.9400,62.1750,56.5400
2026/07/08,57.2700,2.8200,-4.69,4750297,58.6700,60.2500,56.0626
2026/07/07,60.0900,0.6100,-1.00,4100474,60.5484,62.4900,58.8400
2026/07/06,60.7000,0.4300,+0.71,4672664,60.1000,61.9700,58.6900
2026/07/02,60.2700,1.3300,-2.16,5966528,61.1000,63.0999,58.9100
2026/07/01,61.6000,3.6700,+6.34,9016128,57.5500,63.1096,57.4400
2026/06/30,57.9300,0.3800,-0.65,4807472,57.5900,59.3589,56.3524
2026/06/29,58.3100,2.1700,+3.87,8184586,56.8400,59.5900,54.7700
2026/06/26,56.1400,1.2700,+2.31,9674513,54.2150,57.1000,53.3700
2026/06/25,54.8700,2.9300,+5.64,9314234,52.5900,55.6500,52.5700
2026/06/24,51.9400,3.3300,+6.85,6966343,48.6150,52.5600,48.4500
2026/06/23,48.6100,0.7600,+1.59,5326346,47.0000,49.8500,46.6800
2026/06/22,47.8500,2.9900,-5.88,5170888,49.7500,51.2700,47.5600
