일자,종가,대비,등락률,거래량,시가,고가,저가
2026/09/17,353.1300,11.9800,+3.51,2020600,352.8550,360.2600,350.0000
2026/09/16,341.1500,8.3000,+2.49,2550159,340.5100,347.0000,336.5700
2026/09/15,332.8500,3.6500,+1.11,2692589,337.8300,338.4750,326.3722
2026/09/14,329.2000,50.5200,-13.30,4889699,347.1150,349.4600,328.5900
2026/09/11,379.7200,9.5300,+2.57,2394327,380.3700,385.6800,374.3800
2026/09/10,370.1900,13.5000,-3.52,2312767,372.2050,374.9999,365.8200
2026/09/09,383.6900,11.6300,+3.13,2286055,368.4820,384.4500,368.4820
2026/09/08,372.0600,15.0300,+4.21,2791345,365.0300,377.7600,364.4200
2026/09/04,357.0300,18.5700,+5.49,2247433,345.8900,359.0000,342.2900
2026/09/03,338.4600,3.0288,-0.89,1693427,332.7342,341.4788,325.8748
2026/09/02,341.4888,6.1576,+1.84,1817753,333.8818,346.8668,329.9933
2026/09/01,335.3312,14.3645,-4.11,2587777,341.1690,342.1736,327.9740
2026/08/31,349.6957,5.1380,-1.45,1905330,357.2228,361.6871,347.6765
2026/08/28,354.8337,17.0834,-4.59,2401885,368.3985,370.4389,353.1144
2026/08/27,371.9171,8.9565,+2.47,2448335,370.0579,372.5369,360.3016
2026/08/26,362.9606,3.3287,-0.91,2225922,366.0294,366.3743,356.8929
2026/08/25,366.2893,1.5294,+0.42,1680663,374.1363,378.5996,360.5115
2026/08/24,364.7599,10.8358,-2.88,2664317,359.9817,367.6788,348.8761
2026/08/21,375.5957,7.4072,-1.93,1911635,381.6534,385.4170,364.8699
2026/08/20,383.0029,3.4987,+0.92,1996716,377.1951,385.7818,372.7568
2026/08/19,379.5042,24.6306,-6.09,2766212,405.0294,405.0294,373.8664
2026/08/18,404.1348,38.8351,-8.77,4295403,418.9841,424.5969,392.0294
2026/08/17,442.9699,24.3407,+5.81,3108554,424.8368,443.9995,420.0588
2026/08/14,418.6292,8.2668,+2.01,1843351,410.3524,418.8391,398.2670
2026/08/13,410.3624,7.7770,+1.93,1881019,399.2467,422.1579,397.8472
2026/08/12,402.5854,23.1711,+6.11,2958213,396.3478,408.3881,393.0109
