일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,367.2900,18.5400,+5.32,61825270,347.2100,368.9200,347.1500
2026/08/28,348.7500,6.0600,-1.71,32972214,357.0950,358.8000,345.2000
2026/08/27,354.8100,8.9900,+2.60,30136164,346.1550,355.7400,345.4500
2026/08/26,345.8200,4.4300,-1.26,28573007,345.2700,351.9300,342.5300
2026/08/25,350.2500,1.3000,+0.37,29816685,349.5800,357.0000,349.2003
2026/08/24,348.9500,13.9100,-3.83,39190484,361.4100,363.2400,348.2600
2026/08/21,362.8600,17.7300,+5.14,59223958,349.8800,366.5000,346.9000
2026/08/20,345.1300,5.9900,-1.71,30766360,346.2000,347.5000,338.9600
2026/08/19,351.1200,14.2500,+4.23,36735428,338.8900,351.6200,335.7000
2026/08/18,336.8700,2.4300,-0.72,27994466,333.2200,340.5300,331.1200
2026/08/17,339.3000,2.9700,-0.87,26037093,340.6900,345.4500,337.4800
2026/08/14,342.2700,2.3100,+0.68,45437144,342.3300,351.2600,335.3306
2026/08/13,339.9600,12.4500,+3.80,34708303,327.2000,341.6400,325.2400
2026/08/12,327.5100,5.3000,-1.59,28698879,335.0000,335.5000,323.6400
2026/08/11,332.8100,1.9300,+0.58,23345233,332.8000,336.2000,329.5300
2026/08/10,330.8800,2.3000,+0.70,25003808,326.5950,332.0500,326.1500
2026/08/07,328.5800,9.0500,+2.83,39492345,322.3400,333.7300,321.2508
2026/08/06,319.5300,2.0200,-0.63,26033776,317.0500,323.0000,315.5205
2026/08/05,321.5500,5.8000,-1.77,27820813,323.4200,327.1400,320.2800
2026/08/04,327.3500,5.2700,+1.64,33318303,324.0000,329.5700,320.7901
2026/08/03,322.0800,10.8700,+3.49,38281362,310.9600,324.6500,310.4250
2026/07/31,311.2100,2.3600,+0.76,36630560,309.6900,315.5000,301.9700
2026/07/30,308.8500,10.5300,+3.53,38005390,302.7000,310.8700,301.3300
2026/07/29,298.3200,9.1200,-2.97,39478039,307.1400,309.0600,297.3800
2026/07/28,307.4400,1.7800,-0.58,39802421,305.9250,311.1600,300.6900
2026/07/27,309.2200,3.8100,-1.22,44919377,313.2400,317.0000,304.2800
2026/07/24,313.0300,6.6600,-2.08,62760007,320.7200,322.9600,306.5100
2026/07/23,319.6900,54.3200,-14.52,115606413,341.0000,342.1100,315.7350
2026/07/22,374.0100,4.9200,-1.30,30646124,375.5300,380.1700,372.9000
2026/07/21,378.9300,9.3600,+2.53,32735334,371.1650,384.0700,369.9800
2026/07/20,369.5700,11.2700,-2.96,33901516,386.0450,386.6100,369.4250
2026/07/17,380.8400,10.2200,-2.61,31394594,381.7800,385.6899,377.2200
2026/07/16,391.0600,3.4000,-0.86,29269113,392.3500,395.3100,385.3200
2026/07/15,394.4600,1.7200,-0.43,31549805,399.3950,406.5895,390.6600
