일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,420.5000,2.9800,+0.71,6806126,417.2300,423.8000,414.6001
2026/08/28,417.5200,9.7800,-2.29,8896896,427.4900,429.1200,417.3200
2026/08/27,427.3000,9.6100,+2.30,12749846,423.0150,429.6400,420.5300
2026/08/26,417.6900,0.2800,+0.07,7449310,418.4500,420.7500,414.4100
2026/08/25,417.4100,7.2900,+1.78,7049839,414.5850,419.7695,414.0300
2026/08/24,410.1200,8.8300,-2.11,10645649,413.8700,414.3400,405.1500
2026/08/21,418.9500,2.9500,+0.71,8947202,423.0150,425.6800,416.7000
2026/08/20,416.0000,3.9100,+0.95,10447899,408.6000,417.9600,407.7183
2026/08/19,412.0900,1.3200,-0.32,8424682,418.1300,419.6000,407.8800
2026/08/18,413.4100,17.5600,-4.07,14030094,417.0000,419.6300,410.7650
2026/08/17,430.9700,4.6200,+1.08,9479386,429.9700,435.7100,426.8000
2026/08/14,426.3500,4.1400,-0.96,6324715,429.2000,429.2699,424.1000
2026/08/13,430.4900,1.3400,+0.31,8194037,429.1500,436.0400,428.3922
2026/08/12,429.1500,7.0900,+1.68,9534228,432.6500,433.2800,427.0200
2026/08/11,422.0600,3.5900,+0.86,9703611,424.2000,424.9000,418.8700
2026/08/10,418.4700,1.5700,-0.37,11776122,420.3400,425.8800,416.0000
2026/08/07,420.0400,1.8400,+0.44,9159559,424.7900,424.7900,413.1000
2026/08/06,418.2000,4.2000,+1.01,10628860,409.5400,423.9100,407.9900
2026/08/05,414.0000,3.1700,-0.76,12790436,419.3200,426.3000,413.0701
2026/08/04,417.1700,11.0600,+2.72,13929095,418.0000,420.2500,412.1100
2026/08/03,406.1100,1.8600,+0.46,12676907,400.5850,407.4400,398.2001
2026/07/31,404.2500,0.9400,+0.23,11956081,419.5000,420.3500,398.8000
2026/07/30,403.3100,28.6400,+7.64,17474236,392.4900,406.7700,387.6000
2026/07/29,374.6700,17.6400,-4.50,21700216,388.0800,391.2500,372.7200
2026/07/28,392.3100,6.7800,-1.70,18276277,385.0000,395.3600,381.3000
2026/07/27,399.0900,4.3200,-1.07,17932307,406.0750,407.4300,388.8000
2026/07/24,403.4100,12.1700,-2.93,11525123,411.3450,412.9200,400.8000
2026/07/23,415.5800,5.6300,-1.34,11048797,415.8400,420.8400,411.8000
2026/07/22,421.2100,3.4000,-0.80,10259511,414.9050,424.8100,414.2100
2026/07/21,424.6100,22.3100,+5.55,18210122,418.7400,425.4000,413.5600
2026/07/20,402.3000,3.9300,+0.99,11653638,407.7050,409.8900,400.0800
2026/07/17,398.3700,11.3700,-2.77,20986464,392.1200,404.7000,386.0200
2026/07/16,409.7400,9.7400,-2.32,24891293,405.2900,415.9500,403.5000
2026/07/15,419.4800,0.9100,-0.22,17012274,425.7500,428.8900,410.7500
2026/07/14,420.3900,1.1900,-0.28,14279000,430.8700,431.0550,418.8600
2026/07/13,421.5800,12.5300,-2.89,14329820,433.8200,437.9900,420.2900
2026/07/10,434.1100,2.8500,-0.65,9595123,438.6650,439.6550,428.1000
2026/07/09,436.9600,0.0200,-0,11455561,446.7250,447.6900,436.3900
2026/07/08,436.9800,4.4100,+1.02,11411248,429.0000,440.4900,428.7500
2026/07/07,432.5700,19.2200,-4.25,14898418,438.0200,439.8000,428.1100
2026/07/06,451.7900,17.6300,+4.06,12788454,447.7750,460.0300,445.6000
2026/07/02,434.1600,10.0700,-2.27,18424815,450.5400,461.4700,429.5000
