일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,119.0000,0.3500,+0.29,1403144,118.8300,119.7100,116.7200
2026/08/28,118.6500,6.0800,-4.87,1358177,122.8100,123.7800,118.2000
2026/08/27,124.7300,3.0300,+2.49,2627326,127.0750,129.5100,121.9200
2026/08/26,121.7000,9.4000,+8.37,3871452,115.5000,124.9111,114.9700
2026/08/25,112.3000,5.1800,+4.84,2129548,113.0000,113.4300,110.3000
2026/08/24,107.1200,3.4200,-3.09,3227674,106.8500,108.0200,103.6601
2026/08/21,110.5400,3.8400,-3.36,2404238,115.2700,116.7200,109.2250
2026/08/20,114.3800,2.0000,-1.72,1835625,115.8500,117.6400,113.2100
2026/08/19,116.3800,9.3300,-7.42,3560027,126.1700,126.3000,114.1500
2026/08/18,125.7100,15.2700,-10.83,3666460,134.8400,135.5700,121.7900
2026/08/17,140.9800,0.9800,+0.70,3041370,140.2100,143.5800,133.3100
2026/08/14,140.0000,1.1200,+0.81,1664803,138.8000,145.8000,137.0000
2026/08/13,138.8800,0.7800,+0.56,2953065,138.9900,143.4917,137.1500
2026/08/12,138.1000,7.3600,+5.63,2215383,138.8300,140.9600,136.0400
2026/08/11,130.7400,0.6600,+0.51,1973364,132.4000,132.8500,128.3100
2026/08/10,130.0800,7.1300,-5.20,3409491,140.4300,142.0000,130.0400
2026/08/07,137.2100,0.8550,+0.63,3557653,140.2900,145.8900,135.0200
2026/08/06,136.3550,5.1050,+3.89,6264681,131.7400,149.9400,124.0000
2026/08/05,131.2500,1.5400,-1.16,4719821,130.5000,137.1850,129.5597
2026/08/04,132.7900,11.5800,+9.55,4202651,129.9350,136.1500,124.7400
2026/08/03,121.2100,5.7700,+5.00,2253660,111.6700,122.2800,110.0100
2026/07/31,115.4400,0.0700,-0.06,2436294,124.1700,126.2400,115.0200
2026/07/30,115.5100,13.7400,+13.50,3591463,111.0200,118.2600,109.5463
2026/07/29,101.7700,6.9200,-6.37,6651357,107.6700,113.2450,99.1900
2026/07/28,108.6900,15.0200,-12.14,5928903,116.7600,116.7600,104.4900
2026/07/27,123.7100,7.7000,-5.86,2268117,131.8100,133.0000,118.7600
2026/07/24,131.4100,13.4400,-9.28,1268796,142.4300,143.0400,131.0100
2026/07/23,144.8500,0.1500,+0.10,1161663,144.3900,150.1900,141.7447
2026/07/22,144.7000,2.1500,-1.46,2102321,140.6000,150.2000,140.6000
2026/07/21,146.8500,13.6800,+10.27,1685917,141.7800,147.3299,139.1900
2026/07/20,133.1700,1.1700,+0.89,2396725,135.6250,140.3400,132.8700
2026/07/17,132.0000,1.8600,+1.43,2116499,124.7210,133.4199,120.3800
2026/07/16,130.1400,13.4800,-9.39,2084849,138.2350,138.2500,129.4900
2026/07/15,143.6200,1.6500,+1.16,1920310,144.4800,145.8600,136.0300
2026/07/14,141.9700,5.6300,+4.13,1872250,145.2200,146.8600,138.8500
2026/07/13,136.3400,10.1000,-6.90,2064531,141.7200,144.5900,135.9100
2026/07/10,146.4400,3.5300,-2.35,1660446,148.0000,149.0600,143.6100
2026/07/09,149.9700,4.6800,+3.22,2535028,153.0000,154.8099,149.3350
2026/07/08,145.2900,1.2100,+0.84,2161765,142.0000,146.8800,140.0000
2026/07/07,144.0800,5.3100,-3.55,2606698,142.7400,149.8800,137.5350
2026/07/06,149.3900,6.5900,-4.22,4262679,156.8900,161.0100,147.9450
2026/07/02,155.9800,23.7200,-13.20,3098773,178.2500,179.6791,151.8000
2026/07/01,179.7000,7.3200,-3.91,2279641,180.5000,182.9650,173.6000
2026/06/30,187.0200,0.2200,+0.12,3220625,188.3000,193.4400,183.7700
2026/06/29,186.8000,4.6900,-2.45,3567096,188.0600,189.6900,174.5000
2026/06/26,191.4900,19.0800,-9.06,17247263,206.0000,206.0000,187.0950
2026/06/25,210.5700,0.8300,+0.40,1607487,216.7650,219.8000,203.2600
2026/06/24,209.7400,3.4300,-1.61,1747771,214.0000,217.8158,202.4100
2026/06/23,213.1700,8.3000,-3.75,2038832,202.9220,213.9800,200.1600
2026/06/22,221.4700,5.0300,+2.32,2353542,220.8400,223.8300,210.7350
2026/06/18,216.4400,13.7400,+6.78,2639163,212.9300,217.9400,209.6200
2026/06/17,202.7000,3.1200,+1.56,1714948,206.0000,208.0400,199.5200
2026/06/16,199.5800,7.0800,-3.43,1958744,206.6500,209.3700,198.8100
2026/06/15,206.6600,12.6100,+6.50,2313910,203.8400,209.0800,201.8000
2026/06/12,194.0500,6.8400,+3.65,1934253,188.8800,197.3200,185.0100
2026/06/11,187.2100,15.0900,+8.77,1714828,176.5400,187.4800,174.3950
2026/06/10,172.1200,1.7400,-1.00,1642749,173.0900,186.9900,167.5323
2026/06/09,173.8600,4.5200,-2.53,2337980,185.0000,188.3900,162.3000
2026/06/08,178.3800,10.7600,+6.42,2494926,175.6900,180.7361,169.5700
2026/06/05,167.6200,17.2200,-9.32,1992516,178.0200,179.8100,165.7800
2026/06/04,184.8400,4.7600,-2.51,1847952,180.4000,191.3000,174.1090
2026/06/03,189.6000,9.9800,+5.56,2567688,180.4900,191.1200,176.0001
2026/06/02,179.6200,7.1800,+4.16,2361723,178.0000,180.6740,172.0600
2026/06/01,172.4400,1.2800,-0.74,2992658,169.9400,176.4700,166.0800
2026/05/29,173.7200,14.0700,-7.49,4684235,189.9600,193.0000,171.5300
2026/05/28,187.7900,2.8800,-1.51,3292335,193.0000,193.0000,182.3819
2026/05/27,190.6700,6.2800,-3.19,5117703,196.4800,196.5168,174.0600
2026/05/26,196.9500,7.0300,+3.70,3389550,200.6800,200.6800,189.0101
2026/05/22,189.9200,15.3700,+8.81,3084730,188.3300,191.7300,182.6900
2026/05/21,174.5500,5.1900,+3.06,1776846,169.3700,178.6799,167.0200
2026/05/20,169.3600,7.9500,+4.93,2696990,165.9400,173.6299,164.0100
2026/05/19,161.4100,2.5500,+1.61,2199778,156.4800,164.3500,148.3786
2026/05/18,158.8600,8.4900,-5.07,1627460,168.1500,170.5000,154.7200
2026/05/15,167.3500,4.5200,-2.63,2086963,166.0000,169.6200,159.0110
2026/05/14,171.8700,3.0500,+1.81,1858959,168.8200,174.4999,167.4400
2026/05/13,168.8200,5.4600,+3.34,2655202,168.1600,172.0000,162.3850
2026/05/12,163.3600,0.3700,+0.23,2078065,159.3450,163.7900,149.2401
2026/05/11,162.9900,5.6800,+3.61,2436562,156.6700,166.6600,155.0000
2026/05/08,157.3100,3.5400,+2.30,2114993,157.9900,158.0000,150.4200
2026/05/07,153.7700,10.8700,-6.60,2334882,164.3000,164.3000,150.5500
2026/05/06,164.6400,5.0600,+3.17,1946701,165.0000,166.5800,155.2500
2026/05/05,159.5800,2.1100,+1.34,2214148,158.3900,164.5000,157.3000
2026/05/04,157.4700,1.5200,-0.96,2781297,163.2000,165.0000,151.0900
2026/05/01,158.9900,0.7700,+0.49,2739833,156.5200,163.8700,155.2128
2026/04/30,158.2200,20.7200,+15.07,5863672,178.7150,180.0000,148.4100
2026/04/29,137.5000,0.0900,-0.07,3573489,140.4600,141.6300,130.7100
2026/04/28,137.5900,6.5800,-4.56,3007763,134.9300,140.0000,131.4000
2026/04/27,144.1700,4.8400,-3.25,2582768,146.8400,148.1100,138.4200
2026/04/24,149.0100,16.0300,+12.05,2669380,136.7200,149.0800,136.1550
2026/04/23,132.9800,6.2700,+4.95,1732502,127.8500,134.6100,127.0000
2026/04/22,126.7100,1.4600,+1.17,1488082,127.9200,130.0000,122.0800
2026/04/21,125.2500,0.5600,-0.45,1411250,126.5100,129.2400,123.1600
2026/04/20,125.8100,0.4300,-0.34,1629788,126.2700,130.9850,124.0000
2026/04/17,126.2400,9.3100,+7.96,1672384,119.2000,126.3500,118.9210
2026/04/16,116.9300,0.3300,+0.28,1739939,116.1300,118.1300,112.1600
2026/04/15,116.6000,4.1400,-3.43,2304815,119.8200,122.4600,112.4200
2026/04/14,120.7400,2.7500,-2.23,1648669,126.5300,126.7100,119.2700
2026/04/13,123.4900,2.0000,+1.65,1342127,120.8500,124.8100,119.6200
2026/04/10,121.4900,13.9600,+12.98,3062686,109.1800,123.1600,107.9100
2026/04/09,107.5300,1.6800,+1.59,1155859,106.0000,108.7650,105.0450
2026/04/08,105.8500,6.5600,+6.61,2141561,106.4800,107.1900,98.5800
