일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,75.8900,2.9300,-3.72,18517631,78.1700,78.2927,75.3400
2026/08/28,78.8200,1.8700,+2.43,10710383,77.0000,78.9950,76.7200
2026/08/27,76.9500,1.5400,-1.96,14389121,77.6600,77.6900,76.2000
2026/08/26,78.4900,1.8600,-2.31,14523971,81.5600,82.3650,78.4150
2026/08/25,80.3500,1.0600,+1.34,14177140,79.3800,80.4300,78.6100
2026/08/24,79.2900,0.4900,+0.62,12105699,79.0000,79.5199,77.9000
2026/08/21,78.8000,0.2500,+0.32,12754344,79.7250,80.2200,77.8500
2026/08/20,78.5500,0.5100,+0.65,17575817,78.4700,80.1500,78.0900
2026/08/19,78.0400,3.3800,+4.53,19059804,74.9000,79.3100,73.9697
2026/08/18,74.6600,0.3300,-0.44,15895556,75.1850,77.2800,74.6300
2026/08/17,74.9900,0.9600,-1.26,18084901,77.0900,77.5300,74.6500
2026/08/14,75.9500,0.0700,+0.09,10195700,77.0900,77.4400,75.3699
2026/08/13,75.8800,0.5200,+0.69,13239337,75.6300,76.0350,74.5300
2026/08/12,75.3600,3.1800,-4.05,19192459,78.2000,78.5600,74.8800
2026/08/11,78.5400,0.5100,+0.65,18711720,78.0000,78.9885,77.4650
2026/08/10,78.0300,3.0100,+4.01,27263264,75.4300,78.1000,75.3900
2026/08/07,75.0200,4.5500,+6.46,33069640,71.2900,75.4200,71.2300
2026/08/06,70.4700,2.2900,+3.36,31510060,68.6300,71.3700,68.1700
2026/08/05,68.1800,3.8100,-5.29,50131932,69.0000,69.4200,66.7350
2026/08/04,71.9900,0.3800,+0.53,20045952,71.3100,72.2900,71.1395
2026/08/03,71.6100,1.2500,+1.78,12953278,71.2300,71.9490,71.0150
2026/07/31,70.3600,0.0100,-0.01,11993911,69.9600,70.5000,69.5000
2026/07/30,70.3700,0.8300,-1.17,14183470,70.6000,70.6000,68.6900
2026/07/29,71.2000,0.4600,+0.65,12052072,70.1000,71.7900,69.6600
2026/07/28,70.7400,2.5600,+3.75,20969304,69.1100,70.9000,68.7600
2026/07/27,68.1800,2.2400,+3.40,25722868,66.3800,68.3400,65.4100
2026/07/24,65.9400,2.9700,-4.31,27966331,69.3900,70.0700,65.5600
2026/07/23,68.9100,1.4200,-2.02,23649334,70.1700,71.0800,68.3500
2026/07/22,70.3300,1.2200,-1.71,15001033,71.4700,71.4700,69.9600
2026/07/21,71.5500,0.6200,-0.86,11768988,72.1700,72.9900,71.4300
2026/07/20,72.1700,0.2900,-0.40,14947950,72.5000,73.4100,71.5900
2026/07/17,72.4600,1.5800,-2.13,18317878,73.2600,73.4600,71.7200
2026/07/16,74.0400,1.3700,+1.89,17903609,73.6750,75.4000,72.6200
