일자,종가,대비,등락률,거래량,시가,고가,저가
2026/08/31,451.0200,8.4300,-1.83,5862167,456.9000,459.4500,444.5200
2026/08/28,459.4500,2.5500,-0.55,4323205,462.2500,475.0100,455.0700
2026/08/27,462.0000,6.8800,-1.47,7618239,477.7900,479.8500,443.0200
2026/08/26,468.8800,18.1300,+4.02,5158476,449.8750,470.0000,448.0100
2026/08/25,450.7500,15.3700,+3.53,4752801,446.7200,451.9980,430.3400
2026/08/24,435.3800,24.0600,-5.24,7770472,446.3500,446.9900,419.5400
2026/08/21,459.4400,9.6100,-2.05,4350146,477.2700,478.8000,454.3300
2026/08/20,469.0500,6.9600,+1.51,5365503,463.3850,477.2800,453.7000
2026/08/19,462.0900,34.0700,-6.87,6981529,494.2800,500.0000,460.2800
2026/08/18,496.1600,39.8500,-7.43,9440083,496.0700,520.0000,490.2300
2026/08/17,536.0100,27.2100,+5.35,9305323,525.5250,548.6000,519.0700
2026/08/14,508.8000,21.5100,+4.41,9945790,503.5000,516.3500,487.1000
2026/08/13,487.2900,33.1900,+7.31,8699102,453.1300,502.6400,451.5500
2026/08/12,454.1000,16.1700,+3.69,5750492,457.0700,467.8000,450.8800
2026/08/11,437.9300,0.4100,-0.09,6095147,442.2150,448.8800,431.4800
2026/08/10,438.3400,4.0400,+0.93,7258569,434.6250,452.7030,424.3800
2026/08/07,434.3000,17.2200,-3.81,11820839,457.4450,457.5600,422.5000
2026/08/06,451.5200,67.6500,-13.03,16190097,428.8850,477.6300,407.4750
2026/08/05,519.1700,29.3900,-5.36,9633584,544.9350,564.6600,518.2800
2026/08/04,548.5600,21.3400,+4.05,7806175,555.0050,559.8444,537.2865
2026/08/03,527.2200,17.6200,-3.23,8279886,524.3550,539.4300,501.2700
2026/07/31,544.8400,11.8000,+2.21,9502270,569.1050,580.0000,530.5501
2026/07/30,533.0400,71.0000,+15.37,8408766,511.6500,547.0650,507.0000
2026/07/29,462.0400,1.4700,-0.32,9231501,480.3950,499.1900,456.7200
2026/07/28,463.5100,34.4100,-6.91,10511939,466.0900,467.2600,422.1100
2026/07/27,497.9200,21.8800,-4.21,6216953,523.0000,531.2900,471.3200
2026/07/24,519.8000,38.5000,-6.90,4775567,538.5000,552.0000,509.5600
2026/07/23,558.3000,1.6300,+0.29,5689263,555.7200,576.3700,554.0000
2026/07/22,556.6700,8.2800,+1.51,5435035,525.7400,564.4300,525.0182
2026/07/21,548.3900,60.9700,+12.51,7449142,528.8100,553.6250,517.0100
2026/07/20,487.4200,10.2000,+2.14,5403477,491.3600,505.9900,485.2800
2026/07/17,477.2200,10.4100,+2.23,11777119,451.1300,492.9300,430.5215
2026/07/16,466.8100,47.0300,-9.15,10527005,486.6800,498.7200,453.9400
2026/07/15,513.8400,49.4800,-8.78,7926865,562.6400,569.3500,496.5000
2026/07/14,563.3200,7.7700,+1.40,5293195,587.6500,589.6500,559.1100
2026/07/13,555.5500,27.0350,-4.64,4780792,551.6650,559.9900,532.1600
2026/07/10,582.5850,4.5350,+0.78,4814144,563.9950,585.2000,562.7600
2026/07/09,578.0500,27.7500,+5.04,6868543,594.1400,601.5000,574.0001
2026/07/08,550.3000,18.2000,+3.42,6870027,526.0000,562.7600,526.0000
2026/07/07,532.1000,45.3600,-7.86,7993468,532.3950,550.0000,510.3700
2026/07/06,577.4600,38.4600,+7.14,7600688,567.0000,601.0000,563.6100
2026/07/02,539.0000,59.3700,-9.92,8956328,595.5000,609.4650,525.8400
2026/07/01,598.3700,40.3500,-6.32,7934200,604.5550,617.3900,585.8000
2026/06/30,638.7200,13.1600,-2.02,9277293,632.4400,663.9800,630.3000
2026/06/29,651.8800,65.4300,+11.16,11268871,600.5600,652.9800,590.0000
2026/06/26,586.4500,88.9400,-13.17,23404387,643.1450,647.4200,579.5100
2026/06/25,675.3900,31.5600,+4.90,11748542,729.0000,729.0000,658.5000
2026/06/24,643.8300,26.9200,-4.01,12214391,658.4600,665.0000,612.4100
2026/06/23,670.7500,61.8700,-8.45,12684428,665.2100,682.5299,653.0000
2026/06/22,732.6200,13.6100,-1.82,13160102,772.7500,779.8000,726.6000
2026/06/18,746.2300,34.1000,+4.79,16683882,764.1500,799.8700,739.1101
2026/06/17,712.1300,31.0500,+4.56,13569067,695.4750,741.8500,694.1200
2026/06/16,681.0800,27.5500,+4.22,15860106,686.7750,729.9200,667.3500
2026/06/15,653.5300,90.6050,+16.10,9522884,618.7800,658.8000,612.0000
2026/06/12,562.9250,33.6350,+6.35,6291421,541.9900,572.2900,531.9601
